file,ISIN,conId,Symbol,Rows,FirstDate,LastDate,Has2019,Has2020,Has2021,Has2022,Has2023,CoronaUsable,Y2022Usable,Full2019_2023,Error
AU000000EMH5_147967929.csv,AU000000EMH5,147967929,EMH,1264,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000EML7_117704219.csv,AU000000EML7,117704219,EML,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000ENT8_56464226.csv,AU000000ENT8,56464226,ENT,1263,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000EPM8_110321639.csv,AU000000EPM8,110321639,EPM,1264,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000ERA9_14063213.csv,AU000000ERA9,14063213,ERA,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000EUR7_247671893.csv,AU000000EUR7,247671893,EUR,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000EVN4_96616475.csv,AU000000EVN4,96616475,EVN,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000EXL4_301916290.csv,AU000000EXL4,301916290,EXL,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000FFG8_160813365.csv,AU000000FFG8,160813365,FFG,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000FGR3_214124256.csv,AU000000FGR3,214124256,FGR,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000FLC5_282739470.csv,AU000000FLC5,282739470,FLC,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000FLT9_14063411.csv,AU000000FLT9,14063411,FLT,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000FMG4_34805876.csv,AU000000FMG4,34805876,FMG,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000FML4_44201031.csv,AU000000FML4,44201031,FML,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000FZR3_118048405.csv,AU000000FZR3,118048405,FZR,1261,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000GBE0_44200915.csv,AU000000GBE0,44200915,GBE,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000GEM7_75995913.csv,AU000000GEM7,75995913,GEM,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000GNC9_14063656.csv,AU000000GNC9,14063656,GNC,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000GRR8_44201089.csv,AU000000GRR8,44201089,GRR,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000HAS0_85389354.csv,AU000000HAS0,85389354,HAS,1264,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000HAV4_44201119.csv,AU000000HAV4,44201119,HAV,1264,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000HFR1_101987734.csv,AU000000HFR1,101987734,HFR,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000HLO6_139551479.csv,AU000000HLO6,139551479,HLO,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000HMX5_149525023.csv,AU000000HMX5,149525023,HMX,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000HRN5_259933907.csv,AU000000HRN5,259933907,HRN,1263,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000HSN3_14063763.csv,AU000000HSN3,14063763,HSN,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000HVN7_5082580.csv,AU000000HVN7,5082580,HVN,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000HZR9_214172453.csv,AU000000HZR9,214172453,HZR,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000IAG3_9992848.csv,AU000000IAG3,9992848,IAG,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000IDA0_237848230.csv,AU000000IDA0,237848230,IDA,1263,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000IEL5_213858015.csv,AU000000IEL5,213858015,IEL,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000IGO4_42469783.csv,AU000000IGO4,42469783,IGO,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000ILU1_4708370.csv,AU000000ILU1,4708370,ILU,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000IMC7_56379328.csv,AU000000IMC7,56379328,IMC,1237,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000IMD5_14063990.csv,AU000000IMD5,14063990,IMD,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000IMM6_298064707.csv,AU000000IMM6,298064707,IMM,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000ING6_254447298.csv,AU000000ING6,254447298,ING,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
