"ISIN","Symbol","ConId","Currency","PrimaryExchange","BestExchange","Rows","FirstDate","LastDate","LastClose"
"IE00B5MTYL84","SC03","79383285","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","415.5"
"IE00B5MTZ488","SC06","74991905","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","170.9"
"IE00B5MTZ595","SC04","75098189","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","710.5"
"IE00B5MTZM66","SC05","69881847","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","265.4"
"IE00B5NLX835","SC0P","77918705","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","401.56"
"IE00B5V94313","IS0L","107113284","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","116.4"
"IE00B60SWW18","SC0C","75057361","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","168.42"
"IE00B60SX170","SC0H","77956635","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","197.88"
"IE00B60SX287","SC0I","78611904","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","106.71"
"IE00B60SX402","SC0K","74992103","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","135.32"
"IE00B77D4428","UBU3","108166166","EUR","IBIS","SMART","90","2026-04-10","2026-08-14","163.68"
"IE00B78JSG98","UBU5","108166172","EUR","IBIS","SMART","90","2026-04-10","2026-08-14","123.76"
"IE00B87RLX93","IS3B","127263859","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","100.984"
"IE00B8KQN827","3EC","118017864","EUR","IBIS","SMART","92","2026-04-08","2026-08-14","390"
"IE00B9MRJJ36","XDGM","143130772","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","23.89"
"IE00BC7GZW19","SYBD","133909431","EUR","IBIS2","SMART","89","2026-04-13","2026-08-14","29.685"
"IE00BC7GZX26","SYBF","133909437","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","42.417"
"IE00BCHWNQ94","XDWY","312425364","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","28.234"
"IE00BCLWRD08","IS3H","134428813","EUR","EBS","SMART","92","2026-04-08","2026-08-14","82.42"
"IE00BCLWRF22","IS3G","134428807","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","80.23"
"IE00BD4DXB77","XQUE","284937804","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","8.2758"
"IE00BDC5DG00","KMR","241964088","EUR","FWB","SMART","64","2026-04-10","2026-08-14","2.36"
"IE00BDGN9Z19","XMVE","255450953","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","41.604"
"IE00BDZVH966","IBC5","309787188","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","5.3506"
"IE00BF11F458","SXRR","285338019","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","4.2578"
"IE00BF1B7389","SPP1","385820029","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","27.33"
"IE00BF2B0L69","FLXD","288530470","EUR","IBIS2","SMART","89","2026-04-13","2026-08-14","36.946"
"IE00BF2FN869","TRDE","359784964","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","29.941"
"IE00BF51K249","PSFE","296562812","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","18.281"
"IE00BF92LV92","5HEE","319647872","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","117.9"
"IE00BFMKQ930","XYLE","341199669","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","19.6664"
"IE00BFMNPS42","XZMU","317612409","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","73.12"
"IE00BFMXYY33","VJPE","495899621","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","74.89"
"IE00BFWXDY69","FVSH","323799635","EUR","IBIS2","SMART","89","2026-04-13","2026-08-14","25.675"
"IE00BFXYHY63","OM3M","436954464","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","4.1747"
"IE00BG04M077","XD9E","316541323","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","154.806"
"IE00BG0NY640","ICFP","351520609","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","70.92"
"IE00BGDPWV87","AYEP","352548911","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","4.7066"
"IE00BGJWWT11","EIB7","381624559","EUR","IBIS2","SMART","74","2026-04-10","2026-08-13","34.355"
"IE00BGJWWV33","EIB5","381624554","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","35.989"
"IE00BGJWWW40","EIBX","381624561","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","31.573"
"IE00BGJWWX56","EIBB","381624564","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","31.711"
