ISIN,Status,conId,Symbol,LocalSymbol,SecurityType,PrimaryExchange,Exchange,Currency,LongName,FirstHistoricalDate,ContractMatches,Error
AU0000003816,OK,319337006,CPV,CPV,STK,ASX,SMART,AUD,CLEARVUE TECHNOLOGIES LTD,2018-05-24,2,
AU0000005159,OK,314449519,JMS,JMS,STK,ASX,SMART,AUD,JUPITER MINES LTD,2018-04-17,2,
AU0000007627,OK,314244762,INF,INF,STK,ASX,SMART,AUD,INFINITY METALS LTD,2011-04-15,2,
AU000000A3D7,OK,243860230,A3D,A3D,STK,ASX,SMART,AUD,AURORA LABS LTD,2016-08-16,1,
AU000000AAC9,OK,14062085,AAC,AAC,STK,ASX,SMART,AUD,AUSTRALIAN AGRICULTURAL CO,2004-05-04,2,
AU000000ACR3,OK,44187505,ACR,ACR,STK,ASX,SMART,AUD,ACRUX LTD,2007-05-11,1,
AU000000ACW3,OK,46665810,ACW,ACW,STK,ASX,SMART,AUD,ACTINOGEN MEDICAL LTD,2013-12-03,1,
AU000000ADH2,OK,197118344,ADH,ADH,STK,ASX,SMART,AUD,ADAIRS LTD,2015-06-17,1,
AU000000ADX9,OK,14062016,ADX,ADX,STK,ASX,SMART,AUD,ADX ENERGY LTD,2023-10-01,2,
AU000000ADY7,OK,44188231,ADY,ADY,STK,ASX,SMART,AUD,ADMIRALTY RESOURCES NL,2007-05-11,2,
AU000000AGE2,OK,83662625,AGE,AGE,STK,ASX,SMART,AUD,ALLIGATOR ENERGY LTD,2011-02-02,1,
AU000000AGL7,OK,4506298,AGL,AGL,STK,ASX,SMART,AUD,AGL ENERGY LTD,2006-10-12,2,
AU000000AGR4,OK,79770335,AGR,AGR,STK,ASX,SMART,AUD,AGUIA RESOURCES LTD,2008-02-14,1,
AU000000AHF7,OK,171970428,AHF,AHF,STK,ASX,SMART,AUD,AUSTRALIAN DAIRY NUTRITIONAL,2014-10-20,1,
AU000000AJL1,OK,14061774,AJL,AJL,STK,ASX,SMART,AUD,AJ LUCAS GROUP LTD,2004-05-04,1,
AU000000ALK9,OK,14061804,ALK,ALK,STK,ASX,SMART,AUD,ALKANE RESOURCES LTD,2004-05-04,4,
AU000000ALL7,OK,12294122,ALL,ALL,STK,ASX,SMART,AUD,ARISTOCRAT LEISURE LTD,2004-05-04,2,
AU000000ALQ6,OK,112160642,ALQ,ALQ,STK,ASX,SMART,AUD,ALS LTD,2012-08-02,2,
AU000000ALY0,OK,47474522,ALY,ALY,STK,ASX,SMART,AUD,ALCHEMY RESOURCES LTD,2007-11-25,1,
AU000000AMA8,OK,44187847,AMA,AMA,STK,ASX,SMART,AUD,AMA GROUP LTD,2025-11-04,2,
