ISIN,conId,Symbol,Currency,Status,Rows,FirstDate,LastDate,Error
HK0000811882,603516739,AZ9,EUR,OK,265,2022-12-16,2023-12-29,
HK0000827664,603522500,TZ0,EUR,OK,265,2022-12-16,2023-12-29,
HK0001294401,870346229,FZV,EUR,OK,1273,2019-01-02,2023-12-29,
HK0002007356,449340583,CLP,EUR,OK,826,2020-10-13,2023-12-29,
HK0003000038,603524003,HCG,EUR,OK,265,2022-12-16,2023-12-29,
HK0006000050,603513340,HEH,EUR,OK,265,2022-12-16,2023-12-29,
HK0008011667,23081810,TH3B,EUR,OK,1276,2019-01-02,2023-12-29,
HK0012000102,402623091,HLD,EUR,OK,1001,2020-02-05,2023-12-29,
HK0016000132,408887213,SHG,EUR,FAILED,0,,,"2174: Warnung!: Sie haben eine Anfrage mit Datum-Zeit-Attributen ohne explizite Zeitzone übermittelt. Bitte verwenden Sie das Format yyyymmdd-hh:mm:ss in UTC oder verwenden Sie die Zeitzone des Instruments, z. B. US/Eastern. Die Funktion, die eine implizite Zeitzone erlaubt, wird in der nächsten API-Version entfernt. | Timeout"
HK0019000162,376420414,SWI,EUR,OK,1130,2019-07-31,2023-12-29,
HK0023000190,244149629,BKEAF,USD,OK,1256,2019-01-02,2023-12-29,
HK0027032686,104099535,KW9A,EUR,OK,1272,2019-01-02,2023-12-29,
HK0045000319,603519512,HSG,EUR,OK,265,2022-12-16,2023-12-29,
HK0066009694,603525843,MRI,EUR,OK,265,2022-12-16,2023-12-29,
HK0083000502,603497330,SNO,EUR,OK,265,2022-12-16,2023-12-29,
HK0087000532,603518304,SWI1,EUR,OK,265,2022-12-16,2023-12-29,
HK0101000591,449340578,AOP,EUR,OK,826,2020-10-13,2023-12-29,
HK0144000764,603514140,CPM,EUR,OK,265,2022-12-16,2023-12-29,
HK0200030994,603513320,MX7A,EUR,OK,265,2022-12-16,2023-12-29,
HK0257001336,436522744,CNE,EUR,OK,878,2020-07-27,2023-12-29,
HK0267001375,449340584,CPF,EUR,OK,823,2020-10-13,2023-12-29,
HK0270001396,100292897,GUG,EUR,OK,1272,2019-01-02,2023-12-29,
