ISIN,Stage,Error
AU000000MTS0,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MVF3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MYR2,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MYX0,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NAB4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NAG3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NAN9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NEC4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NHC7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NHF0,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NMT1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NST8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NTU4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NUF3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NVA2,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NVX4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NWH5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NXM3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000NXT8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000OEC2,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000OEL3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000OML6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000ORA8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000ORG5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000ORI1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000PDN8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000PEN6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000PEX5,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
AU000000PGC4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000PGM3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000PLS0,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000PNR8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000PNV0,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000POD6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000PPT9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
