date,nav,cash,cash_frac,n_stocks,trades,eligible_count
2019-06-26,1.0656321199785221,0.0,0.0,100,306,586
2019-06-27,1.0721122061106414,0.0,0.0,100,306,869
2019-06-28,1.075998778032579,0.0,0.0,100,306,892
2019-07-01,1.0777820389018296,0.0,0.0,100,308,1018
2019-07-02,1.0811121721963595,0.0,0.0,100,308,1057
2019-07-03,1.0917922964200775,0.0,0.0,100,308,1208
2019-07-04,1.0940141930532514,0.0,0.0,100,312,1252
2019-07-05,1.093577471508578,0.0,0.0,100,312,1297
2019-07-08,1.0868806134746,0.0,0.0,100,314,1295
2019-07-09,1.086196202399338,0.0,0.0,100,318,1146
2019-07-10,1.0964522603110476,0.0,0.0,100,320,1045
2019-07-11,1.1015961863123147,0.0,0.0,100,320,1101
2019-07-12,1.1016660924235808,0.0,0.0,100,324,998
2019-07-15,1.1042628326094706,0.0,0.0,100,324,931
2019-07-16,1.1032832039510783,0.0,0.0,100,324,851
2019-07-17,1.1020131408292506,0.0,0.0,100,328,837
2019-07-18,1.1054208517100197,0.0,0.0,100,328,770
2019-07-19,1.1084272053031474,0.0,0.0,100,330,835
2019-07-22,1.1170827267122636,0.0,0.0,100,332,871
2019-07-23,1.120873240637971,0.0,0.0,100,332,894
2019-07-24,1.1278306551920012,0.0,0.0,100,332,845
2019-07-25,1.1215422952945873,0.0,0.0,100,332,760
2019-07-26,1.1233117517069868,0.0,0.0,100,332,818
2019-07-29,1.12025183783736,0.0,0.0,100,334,843
2019-07-30,1.1181776811199713,0.0,0.0,100,336,859
2019-07-31,1.1107208591534676,0.0,0.0,100,336,834
2019-08-01,1.1127694662159027,0.0,0.0,100,336,759
2019-08-02,1.0967540009609336,0.0,0.0,100,336,542
2019-08-05,1.0626919625716051,0.0,0.0,100,336,342
2019-08-06,1.0678459974635313,0.0,0.0,100,342,317
2019-08-07,1.0790784570749399,0.0,0.0,100,346,305
2019-08-08,1.0961340457577127,0.0,0.0,100,346,372
2019-08-09,1.1000150677591272,0.0,0.0,100,348,367
2019-08-12,1.0890108039181792,0.0,0.0,100,350,367
2019-08-13,1.0911097619056158,0.0,0.0,100,350,393
2019-08-14,1.0669756675653068,0.0,0.0,100,352,330
2019-08-15,1.0567346297716615,0.0,0.0,100,358,305
2019-08-16,1.0615718145386688,0.0,0.0,100,368,343
2019-08-19,1.0659953075197164,0.0,0.0,100,368,394
2019-08-20,1.0700982347818384,0.0,0.0,100,372,416
2019-08-21,1.080467475256164,0.0,0.0,100,372,455
2019-08-22,1.0785852545296384,0.0,0.0,100,372,476
2019-08-23,1.0682991163959654,0.0,0.0,100,374,409
2019-08-26,1.0728221939306113,0.0,0.0,100,378,409
2019-08-27,1.0816180729332503,0.0,0.0,100,384,408
2019-08-28,1.0827503286993374,0.0,0.0,100,386,381
2019-08-29,1.0849308999079286,0.0,0.0,100,390,404
2019-08-30,1.0865819417748985,0.0,0.0,100,394,404
2019-09-02,1.0888528629929513,0.0,0.0,100,404,395
2019-09-03,1.0939117360185382,0.0,0.0,100,406,411
2019-09-04,1.1007945704649853,0.0,0.0,100,406,470
2019-09-05,1.1031390540357835,0.0,0.0,100,406,511
2019-09-06,1.0972631437142009,0.0,0.0,100,406,677
2019-09-09,1.082327870992604,0.0,0.0,100,408,990
2019-09-10,1.064956610861856,0.0,0.0,100,412,1038
2019-09-11,1.0768835995971113,0.0,0.0,100,418,1136
2019-09-12,1.0778848048113603,0.0,0.0,100,422,1067
2019-09-13,1.071819550100215,0.0,0.0,100,428,1158
2019-09-16,1.070700882815219,0.0,0.0,100,430,1189
2019-09-17,1.072939650558124,0.0,0.0,100,430,1189
2019-09-18,1.072923741288116,0.0,0.0,100,432,1321
2019-09-19,1.0785551158257862,0.0,0.0,100,432,1424
2019-09-20,1.078913935777648,0.0,0.0,100,432,1368
2019-09-23,1.0772117140781627,0.0,0.0,100,436,1238
2019-09-24,1.0668372344847108,0.0,0.0,100,440,1220
2019-09-25,1.0598734247952621,0.0,0.0,100,444,1120
2019-09-26,1.0517495917607735,0.0,0.0,100,448,1155
2019-09-27,1.0509126556002286,0.0,0.0,100,452,1260
2019-09-30,1.0505911029752841,0.0,0.0,100,452,1299
2019-10-01,1.0470520205707112,0.0,0.0,100,458,1192
2019-10-02,1.0322304469649368,0.0,0.0,100,464,955
2019-10-03,1.0309836850333571,0.0,0.0,100,464,802
2019-10-04,1.04424676138616,0.0,0.0,100,464,796
2019-10-07,1.0500707380456875,0.0,0.0,100,464,839
2019-10-08,1.0389818520380512,0.0,0.0,100,466,792
2019-10-09,1.037903344023052,0.0,0.0,100,468,738
