Variant,MomentumDays,SellThreshold,BuyThreshold,MinTurnover,MinPrice,TransactionCost,TotalReturn,CAGR,MaxDrawdown,Volatility,Sharpe,Trades,AvgCash,MaxCash,AvgStocks,MinStocks,AvgEligibleCount,MinEligibleCount,ReturnToDrawdown,Corona_ReturnToTrough,Corona_StocksAtTrough,Corona_CashAtTrough,Corona_ReturnPlus3M,Corona_ReturnPlus6M,Corona_ReturnPlus12M,Bear22_ReturnToTrough,Bear22_StocksAtTrough,Bear22_CashAtTrough,Bear22_ReturnPlus3M,Bear22_ReturnPlus6M,Bear22_ReturnPlus12M
mom20_sell12_5_buy2_0,20,-0.125,0.02,1000000,0.5,0.001,0.5195832263604361,0.08892571923699055,-0.3090932197352081,0.19507254512973354,0.5201591871062706,4786,0.002908831208229093,1.0,99.7064793130367,0,957.4754098360655,28,0.28769870563052413,-0.27217162509105186,76,0.24512491329302047,-0.14613749293779021,-0.06588775394893642,0.4288897098591893,-0.13903885675962546,100,0.0,-0.08982426927848286,-0.11077584290298392,-0.14871484248479583
mom20_sell12_5_buy3_0,20,-0.125,0.03,1000000,0.5,0.001,0.42023718470562943,0.07403877756685917,-0.3497999436059882,0.1996823246097391,0.44576143497766046,4764,0.0032553117975306616,1.0,99.67135050741608,0,846.6088992974239,25,0.2116603473505869,-0.2695140854177569,70,0.29447737524072004,-0.11661927095123892,-0.018571210614741984,0.44449035039710605,-0.14504615340690485,100,0.0,-0.0998914057625292,-0.13075825793334028,-0.143937474192103
mom20_sell15_0_buy1_0,20,-0.15,0.01,1000000,0.5,0.001,0.5571278545243106,0.09435019992026739,-0.3619655116288689,0.20289988739805603,0.5317187075040732,3868,0.001920471331853446,1.0,99.79859484777518,0,1072.919594067135,32,0.26066074498557945,-0.2903281709415063,92,0.07946256502636932,-0.0987639210730129,0.021948946697160077,0.3654956459710468,-0.19086192969810545,100,0.0,-0.17818754086145572,-0.23599440931323212,-0.19924499133906015
mom20_sell15_0_buy2_0,20,-0.15,0.02,1000000,0.5,0.001,1.389623998497565,0.19405994268668203,-0.299553325824201,0.20320336519608456,0.9463166073625248,3848,0.002443043718098314,1.0,99.7416081186573,0,957.4754098360655,28,0.6478310402755136,-0.28919363781965624,81,0.17353976891939707,-0.10076046461409227,0.00940736105630191,0.37069216726201804,-0.012621123166498549,100,0.0,0.07379686016013443,0.049400358003544476,0.2967677651928289
mom20_sell15_0_buy3_0,20,-0.15,0.03,1000000,0.5,0.001,1.26694041739243,0.18131560572334826,-0.2962278776677799,0.29889418459877876,0.6841607860236977,3794,0.002765230971146761,1.0,99.7056986729118,0,846.6088992974239,25,0.6120815068144735,-0.2864202849952311,75,0.23235970800376995,-0.11522147848039732,-0.03134254949816173,0.3061853199439779,-0.10268381518408576,100,0.0,-0.028361204042298582,-0.07733865896662184,0.3374952444216046
mom20_sell17_5_buy1_0,20,-0.175,0.01,1000000,0.5,0.001,0.4740636152921345,0.0822039498089504,-0.36740271876839103,0.20591495915503477,0.4741580799057435,3194,0.001735737050034194,1.0,99.82045277127244,0,1072.919594067135,32,0.223743444481072,-0.30486499217644114,96,0.04394766052099145,-0.08869318390107717,0.03260738544450281,0.4047597695209202,-0.18336363239775055,100,0.0,-0.13944426394779397,-0.18045314868125717,-0.14852498453924345
mom20_sell17_5_buy2_0,20,-0.175,0.02,1000000,0.5,0.001,0.23366282005691263,0.043679553913438696,-0.4025803266182746,0.18492115000125608,0.31639689582187747,3204,0.002246990079706169,1.0,99.76424668227946,0,957.4754098360655,28,0.10849897778252715,-0.3026734500386975,85,0.13806306506930408,-0.12200641427398495,-0.024770490822776714,0.2612753169656685,-0.16805031108486068,100,0.0,-0.12292976153343382,-0.18708786278748213,-0.15546349397536574
mom20_sell17_5_buy3_0,20,-0.175,0.03,1000000,0.5,0.001,0.3161439245472437,0.05752248535352389,-0.35915916050709273,0.18705389896886077,0.3829800792305452,3190,0.0026171226550146553,1.0,99.72833723653396,0,846.6088992974239,25,0.16015875878623992,-0.2981496659955871,78,0.20474935545705109,-0.07520843929698429,0.01640258275069084,0.2790854530209266,-0.1527427416345989,100,0.0,-0.1675092121447277,-0.20571631012033287,-0.18422132785028578
mom25_sell12_5_buy1_0,25,-0.125,0.01,1000000,0.5,0.001,1.0032253716550583,0.15258088395442249,-0.3451831881423254,0.2133301627806788,0.7509359533152012,4606,0.0023159978104247475,1.0,99.75626959247649,0,1092.7068965517242,36,0.4420287232862296,-0.29171307886578346,82,0.15529427790458836,-0.08240335885457506,0.05197991574658278,0.586331152986479,-0.1905137502665396,100,0.0,-0.15035753352787662,-0.16689162158249338,0.004147045551512019
mom25_sell12_5_buy2_0,25,-0.125,0.02,1000000,0.5,0.001,0.8212304093745977,0.130359839829004,-0.32826838987022344,0.21330643162166565,0.6626115577839039,4600,0.002613628393146211,1.0,99.71943573667711,0,989.9655172413793,33,0.3971135931806899,-0.29178575530821926,79,0.18406952416395492,-0.06752273516515195,0.07436425293943771,0.6761754029058014,-0.16304806028772068,100,0.0,-0.09906352766374893,-0.1903320413059152,-0.12874911613172246
mom25_sell12_5_buy3_0,25,-0.125,0.03,1000000,0.5,0.001,0.4703032707146457,0.0819738786358779,-0.4094232012234428,0.2457844238478301,0.4317983677716866,4576,0.00308443507195374,1.0,99.67319749216301,0,890.198275862069,30,0.20021796124626715,-0.2882513447879519,73,0.2485302307085273,-0.11308904438042522,-0.004984777771156024,0.4376225882616456,-0.15291872364579462,100,0.0,-0.1081615186625009,-0.2619343472152881,-0.16897541761575985
mom25_sell15_0_buy1_0,25,-0.15,0.01,1000000,0.5,0.001,0.33924424862525404,0.06152256966411107,-0.3756090556838344,0.19436103408318844,0.39473620391434167,3942,0.0018111435475852379,1.0,99.8025078369906,0,1092.7068965517242,36,0.16379415973372363,-0.2872501090797184,86,0.10114843909329123,-0.07108485155248745,-0.027280598862483907,0.3487697395238616,-0.17603853946283765,100,0.0,-0.13803964180569073,-0.20338921055594306,-0.2477966940398415
mom25_sell15_0_buy2_0,25,-0.15,0.02,1000000,0.5,0.001,0.3172275218579321,0.057932136156264136,-0.32347672614760514,0.18549924038562823,0.38678245510348963,3908,0.0022619392663507944,1.0,99.75940438871473,0,989.9655172413793,33,0.17909213081941858,-0.2883162953588305,82,0.13971517176968795,-0.07974769820102534,-0.008359063408306722,0.33138510412385913,-0.20305526955981268,100,0.0,-0.15285549743054627,-0.1823582292611815,-0.20794989229440108
mom25_sell15_0_buy3_0,25,-0.15,0.03,1000000,0.5,0.001,0.1961139185147469,0.037280350319121025,-0.37620523081788126,0.18775366122260828,0.2829730043293092,3864,0.00265904495477148,1.0,99.7217868338558,0,890.198275862069,30,0.09909577875372026,-0.2822360645918278,77,0.19409331592193005,-0.10728946180751742,-0.046686299846930956,0.294962556041658,-0.2210205611086098,100,0.0,-0.19457109440431108,-0.23627435119481466,-0.21769495192922772
mom25_sell17_5_buy1_0,25,-0.175,0.01,1000000,0.5,0.001,0.46541369161398083,0.08123746418446798,-0.33640254971688144,0.20847606652665063,0.4669336257772594,3370,0.0016688118529628432,1.0,99.84012539184953,0,1092.7068965517242,36,0.24148884796752568,-0.303256547751811,90,0.10722341918543044,-0.09082546822212312,0.029672738889518158,0.3467388542972012,-0.001290415633266595,100,0.0,-0.00538362189406294,-0.0925516674439022,-0.14620429529235535
mom25_sell17_5_buy2_0,25,-0.175,0.02,1000000,0.5,0.001,0.28777862595895587,0.053054278717745706,-0.36868169736959,0.2126974068332361,0.341716750513114,3334,0.0021113202352274064,1.0,99.79545454545455,0,989.9655172413793,33,0.14390266480888178,-0.30053511075538575,85,0.14694096769918435,-0.07927224986824877,0.028591637530861913,0.36763735802214703,-0.2383790812126121,100,0.0,-0.17682205769684634,-0.21424803390505753,-0.22327691160707064
mom25_sell17_5_buy3_0,25,-0.175,0.03,1000000,0.5,0.001,1.199664437995834,0.1748304729144614,-0.3067228844240444,0.2530464826163276,0.7420101659587615,3284,0.002490406226636733,1.0,99.75548589341693,0,890.198275862069,30,0.5699948774371797,-0.29668294058662736,80,0.1939787655050094,-0.06360004236634909,0.040683853354060995,0.45154223991823117,0.19920678242034429,100,0.0,0.10832028560160545,0.022577115377320434,0.08987158174966159
