date,slot,action,key,ISIN,Symbol,conId,Currency,price,slot_value,momentum_signal,avg_turnover_signal,reason
2019-02-28,73,BUY,80269548,US8740801043,TAL,80269548,USD,35.6,0.01,0.36667949211235107,1027847.5354999999,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,74,BUY,325757296,AU0000016875,VEA,325757296,AUD,2.9578,0.01,0.35819013821441925,8338593.562640001,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,75,BUY,312180472,NO0010816093,ELK,312180472,NOK,29.3775,0.01,0.3554128280658031,37719271.280595,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,76,BUY,235165280,FR0013153541,MDM,235165280,EUR,23.0,0.01,0.35464772054470095,3558667.3549999995,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,77,BUY,169544810,US4435731009,HUBS,169544810,USD,168.38,0.01,0.35296934865900376,2318739.854,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,78,BUY,62078268,AT0000A0E9W5,KTN,62078268,EUR,21.18,0.01,0.3521657250470809,5311377.608,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,79,BUY,331448010,DE000A2NB601,JEN,331448010,EUR,32.02,0.01,0.35046335299073306,5284674.115999999,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,80,BUY,29612256,NL0000235190,AIR,29612256,EUR,113.6,0.01,0.34798621836758925,266119859.407,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,81,BUY,709215810,IT0005599938,FCT,709215810,EUR,9.7455,0.01,0.3475879764384544,6109567.707,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,82,BUY,14136,DE0005909006,GBF,14136,EUR,34.04,0.01,0.34509803921568616,10638592.811,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,83,BUY,189114468,NZATME0002S8,A2M,189114468,AUD,13.77,0.01,0.3442307692307691,64121332.19399999,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,84,BUY,269280,US3032501047,FICO,269280,USD,247.82,0.01,0.34271389293223353,3654189.541,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,85,BUY,2950440,NL0000334118,ASM,2950440,EUR,47.94,0.01,0.3426438053097345,14214542.775,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,86,BUY,255582321,AU000000BVS9,BVS,255582321,AUD,4.1272,0.01,0.34209323583180984,4911918.34946,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,87,BUY,269515674,CA1350861060,GOOS,269515674,USD,57.0,0.01,0.34023042558194216,1730398.043,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,88,BUY,5552,US1273871087,CDNS,5552,USD,57.25,0.01,0.339347675225538,2248630.414,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,89,BUY,136254493,US9224751084,VEEV,136254493,USD,118.84,0.01,0.3362515839189033,1367044.3485,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,90,BUY,292833239,US60937P1066,MDB,292833239,USD,101.56,0.01,0.33571901921802505,1693370.309,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,91,BUY,212671971,US8522341036,XYZ,212671971,USD,81.2,0.01,0.33261300198091126,6871158.818000001,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,92,BUY,42889783,IT0003697080,GEO,42889783,EUR,1.6755,0.01,0.32955073946609614,1205931.1253399998,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,93,BUY,344160157,CA22587M1068,CL,344160157,CAD,12.15,0.01,0.3292682926829269,2133842.1125000003,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,94,BUY,172526919,CA0089118776,AC,172526919,CAD,33.11,0.01,0.326751838946961,45990453.72849999,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-28,95,BUY,12605063,GB0007973794,SRP,12605063,GBP,129.3,0.01,0.3265306122448979,393581062.375,TOP_LIQUID_MOMENTUM_CANDIDATE
