Variant,MomentumDays,SellThreshold,BuyThreshold,MinTurnover,MinPrice,Crash,PeakDate,TroughDate,ReturnToTrough,StocksAtTrough,CashAtTrough,EligibleAtTrough,ReturnPeakToPlus3M,StocksPlus3M,CashPlus3M,ReturnPeakToPlus6M,StocksPlus6M,CashPlus6M,ReturnPeakToPlus12M,StocksPlus12M,CashPlus12M
mom20_sell05_buy02_liq1000000_p0_5,20,-0.05,0.02,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.2592985428735486,65,0.35887714425668826,50,-0.06242921135546753,100,0.0,-0.053421832145746584,100,0.0,0.40250740697671517,100,0.0
mom20_sell05_buy02_liq1000000_p0_5,20,-0.05,0.02,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.19210038216588032,100,0.0,214,-0.0896513312323749,100,0.0,-0.07560485372735082,100,0.0,0.11033121921640832,100,0.0
mom20_sell05_buy05_liq1000000_p0_5,20,-0.05,0.05,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.24508666508047094,48,0.5460167850624854,41,-0.054946273942227175,100,0.0,0.006186243269657998,100,0.0,0.41674994735078696,100,0.0
mom20_sell05_buy05_liq1000000_p0_5,20,-0.05,0.05,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.20372977424260552,100,0.0,111,-0.12544005390562207,100,0.0,-0.13346798126340942,100,0.0,0.09621188584526585,100,0.0
mom20_sell10_buy00_liq1000000_p0_5,20,-0.1,0.0,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.28433063483389487,90,0.10434920431126513,62,-0.08863400161757506,100,0.0,-0.009036479757676963,100,0.0,0.3829528871146506,100,0.0
mom20_sell10_buy00_liq1000000_p0_5,20,-0.1,0.0,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.10346538882889333,100,0.0,338,-0.08329823224679489,100,0.0,-0.10393530571812826,100,0.0,-0.08993249861037977,100,0.0
mom20_sell10_buy02_liq1000000_p0_5,20,-0.1,0.02,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.279040210394219,74,0.27200991218200515,50,-0.10621662142733601,100,0.0,-0.048928395875192265,100,0.0,0.3684698582835315,100,0.0
mom20_sell10_buy02_liq1000000_p0_5,20,-0.1,0.02,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.09656851504055308,100,0.0,214,0.009010992483435176,100,0.0,-0.04016240871252774,100,0.0,-4.864050837594114e-05,100,0.0
mom20_sell10_buy05_liq1000000_p0_5,20,-0.1,0.05,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.27097465412042543,57,0.4286932487470935,41,-0.0787667578251191,100,0.0,0.023659845700186644,100,0.0,0.4300086385374222,100,0.0
mom20_sell10_buy05_liq1000000_p0_5,20,-0.1,0.05,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.04548745554713751,100,0.0,111,0.02054217616764542,100,0.0,-0.013396333950745687,100,0.0,0.15318804468438696,100,0.0
mom20_sell15_buy00_liq1000000_p0_5,20,-0.15,0.0,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.28945390669441917,96,0.05007180923861298,62,-0.09332826523265492,100,0.0,-0.01894505552872383,100,0.0,0.2842193565420694,100,0.0
mom20_sell15_buy00_liq1000000_p0_5,20,-0.15,0.0,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.1306457528647338,100,0.0,338,-0.08767085939918662,100,0.0,-0.1609934729642557,100,0.0,-0.19589408198670177,100,0.0
mom20_sell15_buy02_liq1000000_p0_5,20,-0.15,0.02,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.2874063650236838,81,0.17335240408153416,50,-0.09713764204090403,100,0.0,0.01495127802866092,100,0.0,0.3837145677377394,100,0.0
mom20_sell15_buy02_liq1000000_p0_5,20,-0.15,0.02,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.00876191902441037,100,0.0,214,0.0788483358977099,100,0.0,0.05577908041578028,100,0.0,0.3037527151715802,100,0.0
mom20_sell15_buy05_liq1000000_p0_5,20,-0.15,0.05,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.26855039677430637,63,0.3607638828587425,41,-0.0765473251245753,100,0.0,-0.012927071505377197,100,0.0,0.28048664480979046,100,0.0
mom20_sell15_buy05_liq1000000_p0_5,20,-0.15,0.05,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.1723718782556335,100,0.0,111,-0.11085448242283835,100,0.0,-0.11959728236142608,100,0.0,-0.10759235323966188,100,0.0
mom40_sell05_buy00_liq1000000_p0_5,40,-0.05,0.0,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.33204306193585054,98,0.013663489219168124,76,-0.1320996690374311,100,0.0,0.013010358954774981,100,0.0,0.5486747231860827,100,0.0
mom40_sell05_buy00_liq1000000_p0_5,40,-0.05,0.0,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.08827970673405638,100,0.0,320,-0.033007271180955366,100,0.0,-0.10498169667188628,100,0.0,-0.11229120610845422,100,0.0
