date,nav,cash,cash_frac,n_stocks,trades,eligible_count
2020-08-27,1.1928964250856817,0.0,0.0,100,1140,961
2020-08-28,1.1954879606592619,0.0,0.0,100,1142,936
2020-08-31,1.2098367168581756,0.0,0.0,100,1146,847
2020-09-01,1.2328775450507379,0.0,0.0,100,1148,883
2020-09-02,1.2315883741893072,0.0,0.0,100,1152,995
2020-09-03,1.1679610501369584,0.0,0.0,100,1152,971
2020-09-04,1.159468299762954,0.0,0.0,100,1158,915
2020-09-07,1.167430490269337,0.0,0.0,100,1162,874
2020-09-08,1.1540152481290924,0.0,0.0,100,1166,847
2020-09-09,1.181171908979294,0.0,0.0,100,1170,796
2020-09-10,1.1783130390041647,0.0,0.0,100,1170,822
2020-09-11,1.1504163220949761,0.0,0.0,100,1172,841
2020-09-14,1.1633784984831794,0.0,0.0,100,1176,874
2020-09-15,1.1771898615392162,0.0,0.0,100,1178,836
2020-09-16,1.1868818406441097,0.0,0.0,100,1182,886
2020-09-17,1.1925837776545323,0.0,0.0,100,1182,844
2020-09-18,1.2171597518952668,0.0,0.0,100,1182,893
2020-09-21,1.2045953810278067,0.0,0.0,100,1182,729
2020-09-22,1.2124572331910475,0.0,0.0,100,1188,781
2020-09-23,1.2037719950872192,0.0,0.0,100,1190,769
2020-09-24,1.184869563415954,0.0,0.0,100,1196,761
2020-09-25,1.218765995044413,0.0,0.0,100,1196,898
2020-09-28,1.2321217831720153,0.0,0.0,100,1198,938
2020-09-29,1.237141990349876,0.0,0.0,100,1200,825
2020-09-30,1.2374649786306129,0.0,0.0,100,1204,756
2020-10-01,1.2602795321073386,0.0,0.0,100,1210,783
2020-10-02,1.2472127935440778,0.0,0.0,100,1214,741
2020-10-05,1.275161618020135,0.0,0.0,100,1216,825
2020-10-06,1.2717427455926,0.0,0.0,100,1218,752
2020-10-07,1.2939467110659226,0.0,0.0,100,1220,704
2020-10-08,1.2901484872186222,0.0,0.0,100,1220,742
2020-10-09,1.3145800995790808,0.0,0.0,100,1220,802
2020-10-12,1.3320432204780728,0.0,0.0,100,1220,832
2020-10-13,1.3331126973263079,0.0,0.0,100,1220,852
2020-10-14,1.3347991015469585,0.0,0.0,100,1220,825
2020-10-15,1.347415099620722,0.0,0.0,100,1220,796
2020-10-16,1.3454574935081787,0.0,0.0,100,1220,790
2020-10-19,1.34466345805024,0.0,0.0,100,1224,743
2020-10-20,1.343143121962764,0.0,0.0,100,1226,696
2020-10-21,1.3108239503338508,0.0,0.0,100,1226,681
2020-10-22,1.2961785038554359,0.0,0.0,100,1230,679
2020-10-23,1.2947930015100226,0.0,0.0,100,1236,713
2020-10-26,1.2695654514646624,0.0,0.0,100,1236,632
2020-10-27,1.2633556806085149,0.0,0.0,100,1242,596
2020-10-28,1.2526102699207664,0.0,0.0,100,1246,454
2020-10-29,1.24939563218113,0.0,0.0,100,1254,506
2020-10-30,1.2199886888718603,0.0,0.0,100,1254,505
2020-11-02,1.2454586241701044,0.0,0.0,100,1254,515
2020-11-03,1.2544361780596125,0.0,0.0,100,1256,621
2020-11-04,1.2880904560612996,0.0,0.0,100,1258,672
2020-11-05,1.3296477364350414,0.0,0.0,100,1260,768
2020-11-06,1.3509794337515055,0.0,0.0,100,1262,781
2020-11-09,1.2959764134417335,0.0,0.0,100,1262,974
2020-11-10,1.2394346554051023,0.0,0.0,100,1264,986
2020-11-11,1.2714269339383688,0.0,0.0,100,1272,1034
2020-11-12,1.30509511424961,0.0,0.0,100,1276,1047
2020-11-13,1.300051235334574,0.0,0.0,100,1280,1122
2020-11-16,1.3110054038105905,0.0,0.0,100,1282,1409
2020-11-17,1.2999430897089532,0.0,0.0,100,1284,1385
2020-11-18,1.299319234239124,0.0,0.0,100,1288,1394
2020-11-19,1.3122631862955951,0.0,0.0,100,1290,1430
2020-11-20,1.3306177779527673,0.0,0.0,100,1290,1438
2020-11-23,1.3655092123831682,0.0,0.0,100,1290,1319
2020-11-24,1.3501782407498364,0.0,0.0,100,1294,1424
2020-11-25,1.3474814917114173,0.0,0.0,100,1298,1476
2020-11-26,1.3525477215899946,0.0,0.0,100,1304,1441
2020-11-27,1.3683122785689545,0.0,0.0,100,1308,1516
2020-11-30,1.350026685380122,0.0,0.0,100,1308,1358
2020-12-01,1.3372346374976876,0.0,0.0,100,1310,1434
2020-12-02,1.3400786987933444,0.0,0.0,100,1310,1408
2020-12-03,1.3475543615052492,0.0,0.0,100,1312,1363
2020-12-04,1.3371445738274512,0.0,0.0,100,1312,1375
2020-12-07,1.3544250180700146,0.0,0.0,100,1314,1314
2020-12-08,1.372147838388854,0.0,0.0,100,1318,1342
2020-12-09,1.338994657138006,0.0,0.0,100,1320,1369
2020-12-10,1.3411134313943929,0.0,0.0,100,1320,1399
2020-12-11,1.3518695530438645,0.0,0.0,100,1322,1382
2020-12-14,1.3679792265918693,0.0,0.0,100,1328,1423
2020-12-15,1.3780914616288524,0.0,0.0,100,1334,1461
2020-12-16,1.3796240476007022,0.0,0.0,100,1336,1504
2020-12-17,1.4039278209478836,0.0,0.0,100,1338,1527
2020-12-18,1.4307205709274926,0.0,0.0,100,1344,1542
2020-12-21,1.4530674012833436,0.0,0.0,100,1344,1562
2020-12-22,1.4910002692846849,0.0,0.0,100,1344,1581
2020-12-23,1.5152161368478558,0.0,0.0,100,1346,1690
2020-12-24,1.5135441132986927,0.0,0.0,100,1348,1706
2020-12-25,1.512552612101239,0.0,0.0,100,1350,1731
2020-12-28,1.4898224620710312,0.0,0.0,100,1350,1658
2020-12-29,1.4992993848101115,0.0,0.0,100,1352,1664
2020-12-30,1.513287630626565,0.0,0.0,100,1352,1551
2020-12-31,1.4910637926472774,0.0,0.0,100,1356,1469
2021-01-04,1.4983869077941114,0.0,0.0,100,1356,1436
2021-01-05,1.5153964951253185,0.0,0.0,100,1362,1302
2021-01-06,1.5205978151042814,0.0,0.0,100,1366,1342
2021-01-07,1.5892529283609955,0.0,0.0,100,1366,1361
2021-01-08,1.6230194729430019,0.0,0.0,100,1366,1456
