Variant,MomentumDays,SellThreshold,BuyThreshold,MinTurnover,MinPrice,TotalReturn,CAGR,MaxDrawdown,Volatility,Sharpe,Trades,AvgCash,MaxCash,AvgStocks,MinStocks,AvgEligibleCount,MinEligibleCount,ReturnToDrawdown,Corona_ReturnToTrough,Corona_StocksAtTrough,Corona_CashAtTrough,Corona_EligibleAtTrough,Corona_ReturnPlus3M,Corona_ReturnPlus6M,Corona_ReturnPlus12M,Bear22_ReturnToTrough,Bear22_StocksAtTrough,Bear22_CashAtTrough,Bear22_EligibleAtTrough,Bear22_ReturnPlus3M,Bear22_ReturnPlus6M,Bear22_ReturnPlus12M
mom20_sell10_buy02_liq1000000_p0_5,20,-0.1,0.02,1000000,0.5,0.840214091893907,0.13220731458199508,-0.28915025675637895,0.20090176818606614,0.6985491609290698,6066,0.003152164646935487,1.0,99.6768149882904,0,957.4754098360655,28,0.45722703505459866,-0.279040210394219,74,0.27200991218200515,50,-0.10621662142733601,-0.048928395875192265,0.3684698582835315,-0.09656851504055308,100,0.0,214,0.009010992483435176,-0.04016240871252774,-4.864050837594114e-05
mom20_sell10_buy05_liq1000000_p0_5,20,-0.1,0.05,1000000,0.5,1.1012336559946556,0.16319966226958282,-0.27846182565790534,0.19918475277255698,0.8339840401357383,6044,0.0046099737682146,1.0,99.53005464480874,0,649.303669008587,19,0.5860755307626121,-0.27097465412042543,57,0.4286932487470935,41,-0.0787667578251191,0.023659845700186644,0.4300086385374222,-0.04548745554713751,100,0.0,111,0.02054217616764542,-0.013396333950745687,0.15318804468438696
mom20_sell15_buy00_liq1000000_p0_5,20,-0.15,0.0,1000000,0.5,0.2948694093318387,0.05401958872741908,-0.3292494146228594,0.18282383589383913,0.37018257558217443,3852,0.001782049928370448,1.0,99.81420765027322,0,1187.5901639344263,35,0.16406889831314087,-0.28945390669441917,96,0.05007180923861298,62,-0.09332826523265492,-0.01894505552872383,0.2842193565420694,-0.1306457528647338,100,0.0,338,-0.08767085939918662,-0.1609934729642557,-0.19589408198670177
mom20_sell15_buy02_liq1000000_p0_5,20,-0.15,0.02,1000000,0.5,1.4586019152622294,0.20099801992901534,-0.2978546079675035,0.20307708983880407,0.9743820063144663,3848,0.0024427109750020906,1.0,99.7416081186573,0,957.4754098360655,28,0.6748192391602839,-0.2874063650236838,81,0.17335240408153416,50,-0.09713764204090403,0.01495127802866092,0.3837145677377394,-0.00876191902441037,100,0.0,214,0.0788483358977099,0.05577908041578028,0.3037527151715802
mom20_sell15_buy05_liq1000000_p0_5,20,-0.15,0.05,1000000,0.5,0.9023027452673835,0.1398823418103643,-0.2956167213475348,0.20535718685134446,0.719328166747128,3794,0.004064928775866201,1.0,99.59172521467603,0,649.303669008587,19,0.47318819169878734,-0.26855039677430637,63,0.3607638828587425,41,-0.0765473251245753,-0.012927071505377197,0.28048664480979046,-0.1723718782556335,100,0.0,111,-0.11085448242283835,-0.11959728236142608,-0.10759235323966188
mom40_sell05_buy00_liq1000000_p0_5,40,-0.05,0.0,1000000,0.5,0.7386885283900759,0.12120098383810296,-0.3683403839907061,0.23616227913780385,0.5872591567741798,5840,0.0015042521099289969,1.0,99.85487708168121,0,1207.7153053132436,47,0.3290461461895014,-0.33204306193585054,98,0.013663489219168124,76,-0.1320996690374311,0.013010358954774981,0.5486747231860827,-0.08827970673405638,100,0.0,320,-0.033007271180955366,-0.10498169667188628,-0.11229120610845422
mom40_sell05_buy02_liq1000000_p0_5,40,-0.05,0.02,1000000,0.5,0.3837988073935781,0.06949110687274174,-0.4888224698643514,0.2402610253436682,0.39118293857888836,5804,0.002448858136653501,1.0,99.7605075337034,0,1045.7264076130054,40,0.14216021389529326,-0.332348063753116,81,0.21548114120682554,63,-0.151695917387753,-0.019212764211585798,0.5723449721755596,-0.12739083394269923,100,0.0,241,-0.1297754602500819,-0.1353772814268105,-0.21263042315678637
mom40_sell05_buy05_liq1000000_p0_5,40,-0.05,0.05,1000000,0.5,0.2231263487179591,0.04253611865304019,-0.5313181403065196,0.23205863558215462,0.29034743498460247,5758,0.003778206183643831,1.0,99.62569389373513,0,815.4758128469468,31,0.08005771952092758,-0.3227203363483534,62,0.39600652733749736,50,-0.14141001899257777,0.025152246182807758,0.5424386460681345,-0.25257568650988516,100,0.0,159,-0.20492922676506165,-0.23069916644246902,-0.2961206957182586
mom40_sell10_buy00_liq1000000_p0_5,40,-0.1,0.0,1000000,0.5,0.3937836441914382,0.07108260273657563,-0.4399512040249052,0.2341557271845347,0.4013641982590242,4696,0.0009692830846303451,1.0,99.90007930214115,0,1207.7153053132436,47,0.16156928788073444,-0.30918253246268423,100,0.0,76,-0.1057011038817719,0.0075910126325553495,0.5247276339060989,-0.22612455948305354,100,0.0,320,-0.17231094792141588,-0.2319627650392485,-0.3268623450747178
mom40_sell10_buy02_liq1000000_p0_5,40,-0.1,0.02,1000000,0.5,0.5900011487186729,0.1006612798622446,-0.36709660182577397,0.23626939696391994,0.5111924893376801,4722,0.0015650373953712523,1.0,99.82791435368755,0,1045.7264076130054,40,0.27420923909837497,-0.309154689238757,92,0.08611238687984389,63,-0.09921779433165134,0.03320815893315032,0.5032007988515854,-0.1229390656302689,100,0.0,241,-0.06709340220597848,-0.11805208842005754,-0.17312697014480893
mom40_sell10_buy05_liq1000000_p0_5,40,-0.1,0.05,1000000,0.5,0.3714840714557437,0.06751565206156696,-0.45566880814005717,0.22886714237179553,0.3910781382285404,4656,0.0026072825561280102,1.0,99.71054718477399,0,815.4758128469468,31,0.14816825478388884,-0.30429855945830464,72,0.2273088646526737,50,-0.09777956625779294,0.04277302548729267,0.518841381705162,-0.14669113545875057,100,0.0,159,-0.11220347938029862,-0.15843214502369407,-0.25041144159020157
mom40_sell15_buy00_liq1000000_p0_5,40,-0.15,0.0,1000000,0.5,-0.1439310288120006,-0.03163020151308038,-0.5616981998109201,0.2189377723594213,-0.031830785243790106,3490,0.0008595503346048959,1.0,99.9127676447264,0,1207.7153053132436,47,-0.0563117373773457,-0.3224000456777505,100,0.0,76,-0.11344457204056746,0.0053669439326196056,0.1661484741290009,-0.24900576118857154,100,0.0,320,-0.23110315960244487,-0.24832181036079937,-0.2916893991920787
mom40_sell15_buy02_liq1000000_p0_5,40,-0.15,0.02,1000000,0.5,0.13271151995730457,0.026108150841503308,-0.44374105793536156,0.20935975745307991,0.2242871189467005,3512,0.0012348224970313505,1.0,99.87390959555908,0,1045.7264076130054,40,0.05883645512312815,-0.32034846412713347,96,0.03579265439212981,63,-0.09772946437537788,0.010583812286061534,0.1949764589662255,-0.12245060371651939,100,0.0,241,-0.1035131237590734,-0.15718263532303245,-0.11939450972960408
mom40_sell15_buy05_liq1000000_p0_5,40,-0.15,0.05,1000000,0.5,0.1011569070366869,0.020129701432378244,-0.45602771374902296,0.20128479054279394,0.19703431872839355,3554,0.002317995989577758,1.0,99.75337034099921,0,815.4758128469468,31,0.04414139936121672,-0.32029408355475475,74,0.22486979945616323,50,-0.11420001524584422,0.007889534357831574,0.21599823430123988,-0.2355159520824739,100,0.0,159,-0.2159122262595381,-0.2187540659188716,-0.19943061020169695
