timestamp,symbol,phase,elapsed_ms,elapsed_s,success,message
2026-08-17T12:10:53.967,LAZ.XFRA,snapshot-FWB,1061,1.061,true,IBKR-Snapshot fuer LAZ wurde empfangen.
2026-08-17T12:10:59.326,LB4A.XFRA,historical-FWB,4577,4.577,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: LB4A@FWB Trades
2026-08-17T12:11:00.043,LB4A.XFRA,snapshot-FWB,717,0.717,true,IBKR-Snapshot fuer LB4A wurde empfangen.
2026-08-17T12:11:01.099,LE70.XFRA,historical-FWB,281,0.281,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: LE70@FWB Trades
2026-08-17T12:11:01.805,LE70.XFRA,snapshot-FWB,702,0.702,true,IBKR-Snapshot fuer LE70 wurde empfangen.
2026-08-17T12:11:02.651,LEN.XFRA,historical-SMART,281,0.281,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:03.089,LEN.XFRA,snapshot-SMART,436,0.436,true,IBKR-Snapshot fuer LNZ wurde empfangen.
2026-08-17T12:11:03.900,LET.XFRA,historical-SMART,297,0.297,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:04.338,LET.XFRA,snapshot-SMART,436,0.436,true,IBKR-Snapshot fuer LSS wurde empfangen.
2026-08-17T12:11:05.665,LFX.XFRA,historical-SMART,500,0.500,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:06.087,LFX.XFRA,snapshot-SMART,422,0.422,true,IBKR-Snapshot fuer TFI wurde empfangen.
2026-08-17T12:11:06.870,LGWU.XFRA,historical-SMART,282,0.282,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:07.577,LGWU.XFRA,snapshot-SMART,702,0.702,true,IBKR-Snapshot fuer LGWU wurde empfangen.
2026-08-17T12:11:08.364,LI3.XFRA,historical-SMART,282,0.282,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:08.805,LI3.XFRA,snapshot-SMART,436,0.436,true,IBKR-Snapshot fuer FII wurde empfangen.
2026-08-17T12:11:09.871,LMQ.XFRA,historical-FWB2,343,0.343,true,IBKR-Quotes fuer LMQ wurden empfangen.
2026-08-17T12:11:10.863,LN1.XFRA,historical-SMART,547,0.547,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:11:11.923,LN1.XFRA,snapshot-SMART,1045,1.045,true,IBKR-Snapshot fuer SGP wurde empfangen.
2026-08-17T12:11:12.749,LOC.XFRA,historical-FWB2,313,0.313,true,IBKR-Quotes fuer LOC wurden empfangen.
