Symbol,ISIN,Name,marketplace_sym,marketplace_exchange,marketplace_turnover,marketplace_last_error
637.XFRA,GB00BNVVHD43,VICTORIAN P.G. LS -001,VIC.XLON/XLON,XLON,70372369.6000,Marketstack-Validierung: Symbol/MIC nicht gefunden
63Z.XFRA,CA33564P1036,FIRST NATIONAL FIN. CORP.,FN.XTSE/XTSE,XTSE,44038294.7900,Marketstack-Validierung: Symbol/MIC nicht gefunden
64W.XFRA,SE0015191911,CDON AB,CDON.XSTO/XSTO,XSTO,2057806.4000,Marketstack-Validierung: Symbol/MIC nicht gefunden
651.XFRA,SE0014829271,LIFECLEAN INTL AB,LCLEAN.XSTO/XSTO,XSTO,2071785.4200,Marketstack-Validierung: Symbol/MIC nicht gefunden
65G.XFRA,SE0009723125,NEXTCELL PHARMA AB,NXTCL.XSTO/XSTO,XSTO,1152173.8400,Marketstack-Validierung: Symbol/MIC nicht gefunden
65J.XFRA,GB00BMX64W89,"SAGA PLC LS -,15",SAGA.XLON/XLON,XLON,321701252.6000,Marketstack-Validierung: Symbol/MIC nicht gefunden
65K.XFRA,CA6087112067,MOLSON COORS CDA EXCH.B,TPX-B.XTSE/XTSE,XTSE,313222.7000,Marketstack-Validierung: Symbol/MIC nicht gefunden
65M.XFRA,PLDRG0000013,DRAGO ENTERTAINM. ZY -10,DGE.XWAR/XWAR,XWAR,57545.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
65R.XFRA,SE0006219473,ADVENICA AB,ADVE.XSTO/XSTO,XSTO,1996581.6800,Marketstack-Validierung: Symbol/MIC nicht gefunden
66M.XFRA,SE0008216303,CLEAN MOTION AB O.N.,CLEMO.XSTO/XSTO,XSTO,443580.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
678.XFRA,GB00BYWKBC49,"ALPHA GROWTH PLC -,001",ALGW.XLON/XLON,XLON,17293471.7500,Marketstack-Validierung: Symbol/MIC nicht gefunden
67L.XFRA,CA73150R1055,POLLARD BANKNOTE LTD,PBL.XTSE/XTSE,XTSE,1631746.1850,Marketstack-Validierung: Symbol/MIC nicht gefunden
67N0.XFRA,KYG3871A1004,EDDING GENOR GROUP HOLDINGS,67N0.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Genor Biopharma Holdings Limited)
695.XFRA,PLSNZKA00033,SNIEZKA,SKA.XWAR/XWAR,XWAR,300033.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
69M.XFRA,SE0005365681,IRISITY AB,IRIS.XSTO/XSTO,XSTO,6107458.6500,Marketstack-Validierung: Symbol/MIC nicht gefunden
6DV.XFRA,SE0010414615,LOGISTRI FASTIGHETS AB,LOGIST.XSTO/XSTO,XSTO,4424428.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
6DY.XFRA,GB00B9GQVG73,"AB DYNAMICS PLC LS -,01",ABDP.XLON/XLON,XLON,1096223520.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
6E5.XFRA,NO0011002651,NORDHEALTH AS NK 1,NORDH.XOSL/XOSL,XOSL,5529.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
6FA.XFRA,US81684M1045,SEMLER SCIENTIFIC DL-001,SMLR/OTCM,OTCM,104689100.8600,Marketstack-Validierung: Symbol/MIC nicht gefunden
6FK.XFRA,NO0010748866,GENTIAN DIAGNOST. NO -01,GENT.XOSL/XOSL,XOSL,1239937.9000,Marketstack-Validierung: Symbol/MIC nicht gefunden
